feedback,date,estate,categorised_feedback,final_feedback
"I haven't noticed a huge difference yet, but I'm glad the upgrades were done. The workers were okay, but not the friendliest.",04/01/2025,Hillview Court,"[{'theme': 'Perceived Impact of Retrofit', 'sentiment': 2}, {'theme': 'Satisfaction with Retrofit Completion', 'sentiment': 4}, {'theme': 'Worker Conduct', 'sentiment': 2}]","[{'final_theme': 'Evaluating Retrofit Outcomes', 'sentiment': 2}, {'final_theme': 'Evaluating Retrofit Outcomes', 'sentiment': 4}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}]"
"Too much noise during the day, especially with all the drilling. It was constant for a week and gave me headaches. It made it hard to relax at home.",20/02/2025,Riverside Heights,"[{'theme': 'Noise and Disruption', 'sentiment': 1}]","[{'final_theme': 'Noise Disruption', 'sentiment': 1}]"
"The new boiler seems to work better, and the radiators heat up faster. My kids aren't complaining about the cold anymore!",19/02/2025,Maple Grove Estate,"[{'theme': 'Heating System Performance', 'sentiment': 5}, {'theme': 'Home Comfort/Warmth', 'sentiment': 5}]","[{'final_theme': 'Heating and Insulation Performance', 'sentiment': 5}, {'final_theme': 'Home Quality', 'sentiment': 5}]"
"There was some confusion with the scheduling, and at one point no one showed up for two days. But once the team arrived, they did a decent job.",25/02/2025,Maple Grove Estate,"[{'theme': 'Scheduling/Timeliness', 'sentiment': 2}, {'theme': 'Work Quality/Execution', 'sentiment': 4}]","[{'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}, {'final_theme': 'Workmanship Quality', 'sentiment': 4}]"
"It's great that the council is investing in this, but the actual process was chaotic. I got three different letters with three different dates.",24/04/2025,Hillview Court,"[{'theme': 'Scheme Intent/Investment', 'sentiment': 4}, {'theme': 'Process Management', 'sentiment': 1}, {'theme': 'Communication', 'sentiment': 1}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 4}, {'final_theme': 'Operational Scheduling and Timing', 'sentiment': 1}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 1}]"
"Even though the insulation was supposed to help, my living room is still cold in the mornings. I'm not sure the work was done properly.",27/04/2025,Hillview Court,"[{'theme': 'Insulation Performance', 'sentiment': 1}, {'theme': 'Workmanship Quality', 'sentiment': 2}]","[{'final_theme': 'Heating and Insulation Performance', 'sentiment': 1}, {'final_theme': 'Workmanship Quality', 'sentiment': 2}]"
"Overall, I'm happy with the results. There were a few hiccups, but now my heating system is more efficient and it feels cosier at home.",24/04/2025,Riverside Heights,"[{'theme': 'Overall Experience', 'sentiment': 4}, {'theme': 'Process Execution', 'sentiment': 2}, {'theme': 'Heating System Efficiency', 'sentiment': 5}, {'theme': 'Home Comfort', 'sentiment': 5}]","[{'final_theme': 'Overall Assessment', 'sentiment': 4}, {'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}, {'final_theme': 'Heating and Insulation Performance', 'sentiment': 5}, {'final_theme': 'Home Quality', 'sentiment': 5}]"
The team explained everything clearly and made sure I understood what would happen each day. That gave me peace of mind.,12/03/2025,Riverside Heights,"[{'theme': 'Communication', 'sentiment': 5}, {'theme': 'Resident Experience', 'sentiment': 5}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}, {'final_theme': 'Resident Focus', 'sentiment': 5}]"
The improvements made a difference in my bills – I've noticed they've gone down a little. Still noisy while it lasted though.,21/04/2025,Hillview Court,"[{'theme': 'Energy Bill Reduction', 'sentiment': 4}, {'theme': 'Noise Disruption', 'sentiment': 2}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 4}, {'final_theme': 'Noise Disruption', 'sentiment': 2}]"
"Nothing has really changed for me, and I didn't feel it was worth all the hassle. My walls are still damp in winter.",29/03/2025,Maple Grove Estate,"[{'theme': 'Effectiveness', 'sentiment': 1}, {'theme': 'Value for Effort', 'sentiment': 2}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 1}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 2}]"
"I have to say, the insulation has made a big difference this winter. Last year we were using blankets on the sofa, but this year it's been much more comfortable. The team was courteous and even worked around our toddler's nap times when possible. Really appreciated the sensitivity.",02/04/2025,Hillview Court,"[{'theme': 'Insulation Effectiveness', 'sentiment': 5}, {'theme': 'Team Professionalism', 'sentiment': 5}]","[{'final_theme': 'Heating and Insulation Performance', 'sentiment': 5}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}]"
"There were some issues early on with workers arriving without notice, and one day they started drilling at 8 am which was quite disruptive. But after I complained, things improved. I think the council should have coordinated things better from the start.",28/01/2025,Maple Grove Estate,"[{'theme': 'Worker Arrival and Scheduling', 'sentiment': 2}, {'theme': 'Noise and Disruption', 'sentiment': 1}, {'theme': 'Complaint Handling and Improvement', 'sentiment': 4}, {'theme': 'Overall Project Coordination', 'sentiment': 2}]","[{'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}, {'final_theme': 'Noise Disruption', 'sentiment': 1}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 4}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 2}]"
The noise was unbearable for three weeks straight. It wasn't just during work hours – there were random late finishes too. I ended up staying with my sister for a while because I couldn't concentrate or rest properly.,28/01/2025,Riverside Heights,"[{'theme': 'Noise Level', 'sentiment': 1}, {'theme': 'Work Hours/Timing', 'sentiment': 2}, {'theme': 'Disruption to Resident Life', 'sentiment': 1}]","[{'final_theme': 'Noise Disruption', 'sentiment': 1}, {'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}, {'final_theme': 'Noise Disruption', 'sentiment': 1}]"
"Honestly, I didn't fully understand what the works were meant to achieve. I received leaflets but they were very technical. A simple explanation in plain English would have helped a lot.",14/03/2025,Maple Grove Estate,"[{'theme': 'Understanding of Works', 'sentiment': 2}, {'theme': 'Communication Clarity', 'sentiment': 2}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 2}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}]"
"I used to dread the winter months because of how cold and damp my flat would get. Since the retrofitting, it's noticeably drier and warmer. My heating usage has gone down and so have my bills. This has really improved our living conditions.",07/04/2025,Riverside Heights,"[{'theme': 'Living Comfort', 'sentiment': 5}, {'theme': 'Energy Efficiency', 'sentiment': 5}, {'theme': 'Cost Savings', 'sentiment': 5}, {'theme': 'Overall Impact', 'sentiment': 5}]","[{'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 5}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 5}, {'final_theme': 'Overall Assessment', 'sentiment': 5}]"
"The contractors were a mixed bag – one team was very professional, while another left cigarette butts in the garden. It's frustrating because it impacts the overall impression of the project.",06/03/2025,Hillview Court,"[{'theme': 'Contractor Performance', 'sentiment': 2}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}]"
"We were told the work would take four days, but it dragged on for over two weeks with little explanation. I had to rearrange work commitments more than once. The lack of updates was really stressful.",28/02/2025,Maple Grove Estate,"[{'theme': 'Project Timeline', 'sentiment': 1}, {'theme': 'Communication', 'sentiment': 1}, {'theme': 'Disruption and Inconvenience', 'sentiment': 1}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 1}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 1}, {'final_theme': 'Noise Disruption', 'sentiment': 1}]"
"The energy efficiency improvements have made a huge difference. Not only is the house warmer, but it also feels quieter somehow – maybe due to the new windows. Overall, we feel more comfortable at home.",07/04/2025,Riverside Heights,"[{'theme': 'Energy Efficiency', 'sentiment': 5}, {'theme': 'Comfort and Livability', 'sentiment': 5}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 5}, {'final_theme': 'Home Quality', 'sentiment': 5}]"
"I noticed my heating isn't coming on as often, which is a good sign. But I'm still monitoring my bills to see if the savings are real. It's too soon to say definitively.",21/03/2025,Maple Grove Estate,"[{'theme': 'Heating Performance', 'sentiment': 4}, {'theme': 'Expected Savings', 'sentiment': 3}, {'theme': 'Outcome Evaluation Period', 'sentiment': 3}]","[{'final_theme': 'Heating and Insulation Performance', 'sentiment': 4}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 3}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 3}]"
"There were some confusing letters about which parts of the estate would be worked on and when. My neighbor was told one date and I got a different one, but in the end, neither was correct.",26/02/2025,Maple Grove Estate,"[{'theme': 'Communication Clarity', 'sentiment': 2}, {'theme': 'Scheduling Accuracy', 'sentiment': 2}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}, {'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}]"
"The installers did a clean job and respected our home. My elderly mum lives with us and they made an effort not to disturb her, which I really appreciated.",31/03/2025,Riverside Heights,"[{'theme': 'Installer Performance', 'sentiment': 5}, {'theme': 'Consideration for Residents', 'sentiment': 5}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}, {'final_theme': 'Resident Focus', 'sentiment': 5}]"
"Our kitchen wall was damaged slightly during the install, and although they did repair it, the paint doesn't match. A small thing, but frustrating when everything else looks new.",16/03/2025,Maple Grove Estate,"[{'theme': 'Workmanship and Repair Quality', 'sentiment': 2}]","[{'final_theme': 'Workmanship Quality', 'sentiment': 2}]"
I live on the top floor and the scaffolding blocked my windows for weeks. It made the flat dark and gloomy. I wish they'd worked quicker or at least kept us informed.,10/01/2025,Maple Grove Estate,"[{'theme': 'Impact of Scaffolding', 'sentiment': 2}, {'theme': 'Duration of Works', 'sentiment': 2}, {'theme': 'Communication and Updates', 'sentiment': 2}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 2}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 2}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}]"
There's a real difference in temperature now. The back bedrooms used to be freezing and now they're usable year-round. My kids are definitely sleeping better.,09/02/2025,Hillview Court,"[{'theme': 'Thermal Comfort', 'sentiment': 5}, {'theme': 'Home Usability', 'sentiment': 5}, {'theme': 'Resident Well-being', 'sentiment': 5}]","[{'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Resident Focus', 'sentiment': 5}]"
"The process felt a bit rushed, and I don't think they tested the ventilation properly. I've noticed condensation building up more since the changes.",18/03/2025,Maple Grove Estate,"[{'theme': 'Process Management/Timing', 'sentiment': 2}, {'theme': 'Work Execution Quality', 'sentiment': 1}, {'theme': 'Post-Retrofit Performance', 'sentiment': 1}]","[{'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}, {'final_theme': 'Workmanship Quality', 'sentiment': 1}, {'final_theme': 'Evaluating Retrofit Outcomes', 'sentiment': 1}]"
The project team was easy to contact and always responded quickly to emails. It was nice to have that reassurance when so much was going on at once.,06/04/2025,Hillview Court,"[{'theme': 'Communication', 'sentiment': 5}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}]"
Not much has changed for me personally. I still find the hallway cold and draughty. Maybe some flats benefited more than others.,10/01/2025,Riverside Heights,"[{'theme': 'Overall Impact', 'sentiment': 2}, {'theme': 'Thermal Comfort', 'sentiment': 1}, {'theme': 'Consistency of Benefits', 'sentiment': 2}]","[{'final_theme': 'Overall Assessment', 'sentiment': 2}, {'final_theme': 'Home Quality', 'sentiment': 1}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 2}]"
"One good thing was how the council kept checking in with us. We even got a follow-up survey. I felt like our opinions mattered, which isn't always the case.",11/04/2025,Maple Grove Estate,"[{'theme': 'Communication', 'sentiment': 5}, {'theme': 'Resident Engagement', 'sentiment': 5}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}, {'final_theme': 'Resident Focus', 'sentiment': 5}]"
"I'm happy the estate is getting investment, but I wish it didn't come with so much disruption. Elderly residents like me find it hard to adapt to sudden changes.",11/02/2025,Riverside Heights,"[{'theme': 'Investment in Estate', 'sentiment': 5}, {'theme': 'Disruption', 'sentiment': 1}, {'theme': 'Impact on Elderly Residents', 'sentiment': 2}]","[{'final_theme': 'Project Management and Outcomes', 'sentiment': 5}, {'final_theme': 'Noise Disruption', 'sentiment': 1}, {'final_theme': 'Resident Focus', 'sentiment': 2}]"
"We had trouble with the front door sticking after the work. Took a few calls to get someone back to fix it, but eventually it was sorted. Could've been smoother.",30/04/2025,Maple Grove Estate,"[{'theme': 'Snagging Issues', 'sentiment': 2}, {'theme': 'Issue Resolution', 'sentiment': 2}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 2}]"
